description,category
Amazon Prime renewal payment of 899,Subscriptions
lottery ticket payment of 1200,Other
Rapido bike ride,Travel
Paid 250 for flipkart order,Shopping
Paid 899 for shoe store,Shopping
jewellery store 1200,Shopping
BANK SERVICE CHARGE,Other
DENTAL CLINIC VISIT,Health
OTT platform subscription payment of 250,Subscriptions
monthly metro pass 1200,Travel
Paid 499 for movie ticket bookmyshow,Entertainment
Paid 1999 for water tanker payment,Bills & Utilities
postpaid mobile bill 899,Bills & Utilities
Netflix subscription payment of 150,Subscriptions
BLINKIT ORDER,Food
maintenance society fee payment of 2500,Bills & Utilities
canteen lunch 650,Food
BigBasket order payment of 2500,Food
iCloud storage plan payment of 650,Subscriptions
AJIO ORDER,Shopping
theme park,Entertainment
DRY CLEANING SERVICE,Other
IRCTC TRAIN TICKET,Travel
Paid 650 for gaming purchase steam,Entertainment
flight booking IndiGo,Travel
Amazon order payment of 1999,Shopping
cloud storage plan payment of 150,Subscriptions
Audible subscription payment of 349,Subscriptions
Cafe Coffee Day 250,Food
vet visit,Other
lab test payment payment of 1200,Health
DIAGNOSTIC CENTER,Health
ATM cash withdrawal,Other
WATER TANKER PAYMENT,Bills & Utilities
Apollo Pharmacy payment of 499,Health
DTH recharge 499,Bills & Utilities
Paid 250 for petrol pump fuel,Travel
PlayStation store purchase 99,Entertainment
internet bill payment of 150,Bills & Utilities
Paid 1999 for gym membership fee,Subscriptions
CLINIC VISIT FEE,Health
Blinkit order 650,Food
Ola cab payment of 899,Travel
ARCADE GAMES,Entertainment
HIGHWAY FUEL STATION,Travel
Paid 1999 for starbucks coffee,Food
Paid 499 for lost item replacement,Other
diagnostic center payment of 2500,Health
DONATION TO CHARITY,Other
movie ticket BookMyShow,Entertainment
taxi fare 349,Travel
CREDIT CARD BILL PAYMENT,Bills & Utilities
school fee payment 150,Education
pharmacy purchase payment of 1200,Health
Paid 1999 for bike service,Travel
BigBasket order 2500,Food
vitamins purchase payment of 150,Health
Paid 899 for toll plaza payment,Travel
broadband bill payment of 499,Bills & Utilities
insurance premium payment of 349,Bills & Utilities
Practo consultation payment of 99,Health
Paid 499 for rent payment,Bills & Utilities
Paid 499 for blinkit order,Food
Paid 349 for music concert,Entertainment
clothing store purchase payment of 499,Shopping
insurance premium payment of 150,Bills & Utilities
TUITION FEE PAYMENT,Education
Google One subscription,Subscriptions
Paid 2500 for flipkart order,Shopping
rent payment 250,Bills & Utilities
INOX MOVIE TICKET,Entertainment
insurance premium 499,Bills & Utilities
CLINIC VISIT FEE,Health
online course Udemy 1999,Education
Paid 650 for internet bill,Bills & Utilities
broadband bill 349,Bills & Utilities
diagnostic center 1200,Health
DENTAL CLINIC VISIT,Health
concert ticket,Entertainment
Paid 150 for irctc train ticket,Travel
Paid 1999 for practo consultation,Health
PHOTOCOPY AND PRINTING,Other
Paid 1999 for college semester fee,Education
certification exam fee 150,Education
NETFLIX SUBSCRIPTION,Subscriptions
gym membership fee 499,Subscriptions
Cafe Coffee Day 349,Food
